symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
002304,洋河股份,,neutral,38.02,38.02,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.38,0.9,99.17355371900827,avoid,PE_TTM,100.0
002311,海大集团,,neutral,68.25,68.25,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.0,0.9,30.66115702479339,accumulate,PE_TTM,100.0
002352,顺丰控股,,neutral,75.0,75.0,Accumulate,分批建仓,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,100.0,0.9,0.0,strong_buy,PE_TTM,100.0
002371,北方华创,,neutral,55.94,55.94,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,49.17,0.9,70.49586776859505,avoid,PE_TTM,100.0
002384,东山精密,,neutral,38.43,38.43,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,2.48,0.9,98.51239669421487,avoid,PE_TTM,100.0
002415,海康威视,,neutral,70.92,70.92,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,89.13,0.9,21.15702479338843,accumulate,PE_TTM,100.0
002422,科伦药业,,neutral,40.96,40.96,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,9.23,0.9,94.46280991735537,avoid,PE_TTM,100.0
002459,晶澳科技,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
002460,赣锋锂业,,neutral,54.9,54.9,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,46.39,0.9,72.16867469879517,avoid,PE_TTM,100.0
002463,沪电股份,,neutral,38.64,38.64,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,3.03,0.9,98.18181818181819,avoid,PE_TTM,100.0
002466,天齐锂业,,neutral,41.15,41.15,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,9.73,0.9,94.16342412451361,avoid,PE_TTM,100.0
002475,立讯精密,,neutral,51.7,51.7,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,37.88,0.9,77.27272727272727,avoid,PE_TTM,100.0
002493,荣盛石化,,neutral,58.65,58.65,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,56.39,0.9,62.33230134158927,hold,PE_TTM,100.0
002594,比亚迪,,neutral,62.73,62.73,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,67.29,0.9,49.256198347107436,hold,PE_TTM,100.0
002600,领益智造,,neutral,37.76,37.76,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.69,0.9,99.58677685950413,avoid,PE_TTM,100.0
002601,龙佰集团,,neutral,37.65,37.65,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.41,0.9,99.75206611570248,avoid,PE_TTM,100.0
002625,光启技术,,neutral,62.6,62.6,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.94,0.9,49.6694214876033,hold,PE_TTM,100.0
002648,卫星化学,,neutral,50.52,50.52,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,34.71,0.9,79.17355371900825,avoid,PE_TTM,100.0
002709,天赐材料,,neutral,62.11,62.11,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,65.63,0.9,51.2396694214876,hold,PE_TTM,100.0
002714,牧原股份,,neutral,43.48,43.48,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,15.94,0.9,90.43683589138135,avoid,PE_TTM,100.0
002736,国信证券,,neutral,73.54,73.54,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.12,0.9,7.768595041322314,strong_buy,PE_TTM,100.0
002916,深南电路,,neutral,39.72,39.72,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,5.92,0.9,96.44628099173553,avoid,PE_TTM,100.0
002920,德赛西威,,neutral,73.44,73.44,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,95.83,0.9,8.347107438016529,strong_buy,PE_TTM,100.0
002938,鹏鼎控股,,neutral,37.55,37.55,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
003816,中国广核,,neutral,37.55,37.55,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.14,0.9,99.91735537190083,avoid,PE_TTM,100.0
300014,亿纬锂能,,neutral,63.82,63.82,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,70.18,0.9,45.78512396694215,hold,PE_TTM,100.0
300015,爱尔眼科,,neutral,73.59,73.59,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.24,0.9,7.520661157024794,strong_buy,PE_TTM,100.0
300033,同花顺,,neutral,59.94,59.94,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,59.85,0.9,58.18181818181818,hold,PE_TTM,100.0
300059,东方财富,,neutral,73.78,73.78,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.74,0.9,6.528925619834711,strong_buy,PE_TTM,100.0
300122,智飞生物,,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
