symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
000975,山金国际,矿业,neutral,73.71,73.71,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.57,0.9,6.859504132231405,strong_buy,PE_TTM,100.0
000977,浪潮信息,科技,neutral,42.46,42.46,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,13.22,0.9,92.06611570247934,avoid,PE_TTM,100.0
000983,山西焦煤,煤炭,neutral,72.96,72.96,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,94.55,0.9,8.181818181818182,strong_buy,PB,80.0
000999,华润三九,医药,neutral,75.0,75.0,Accumulate,分批建仓,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,100.0,0.9,0.0,strong_buy,PE_TTM,100.0
001391,国货航,交通运输,neutral,72.21,72.21,Hold/Watch,等待拐点,green_pass,0.575,[数据部分缺失],0,60.0,0.5,92.55,0.7,14.893617021276595,strong_buy,PE_TTM,100.0
001965,招商公路,交通运输,neutral,41.69,41.69,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,11.16,0.9,93.30578512396694,avoid,PE_TTM,100.0
001979,招商蛇口,房地产,neutral,37.81,37.81,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,0.83,0.9,99.50413223140497,avoid,PE_TTM,60.0
002001,新和成,化工,neutral,67.62,67.62,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,80.33,0.9,32.892561983471076,accumulate,PE_TTM,100.0
002027,分众传媒,传媒,neutral,50.98,50.98,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,35.95,0.9,78.4297520661157,avoid,PE_TTM,100.0
002028,思源电气,电力设备,neutral,41.58,41.58,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,10.88,0.9,93.47107438016529,avoid,PE_TTM,100.0
002049,紫光国微,半导体,neutral,66.02,66.02,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,76.05,0.9,38.59504132231405,accumulate,PE_TTM,100.0
002050,三花智控,电力设备,neutral,43.49,43.49,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,15.98,0.9,90.41322314049587,avoid,PE_TTM,100.0
002074,国轩高科,电力设备,neutral,73.09,73.09,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,94.92,0.9,10.165289256198347,strong_buy,PE_TTM,100.0
002142,宁波银行,银行,neutral,61.75,61.75,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,64.67,0.9,44.46280991735537,hold,PB,100.0
