symbol,name,sector,rating,action,final_score,alert_level
000568,泸州老窖,白酒,Avoid,回避,34.38,soft_veto
000596,古井贡酒,白酒,Avoid,回避,31.12,soft_veto
002304,洋河股份,白酒,Avoid,回避,0.52,soft_veto
600519,贵州茅台,白酒,Avoid,回避,55.7,green_pass
600809,山西汾酒,白酒,Avoid,回避,37.16,soft_veto
603369,今世缘,白酒,Avoid,回避,35.36,soft_veto
000333,美的集团,家电,Avoid,回避,18.64,soft_veto
000651,格力电器,家电,Avoid,回避,27.51,soft_veto
002594,比亚迪,汽车,Avoid,回避,25.23,soft_veto
300750,宁德时代,电力设备,Avoid,回避,26.76,soft_veto
002475,立讯精密,电子,Avoid,回避,14.2,soft_veto
002415,海康威视,电子,Avoid,回避,33.42,soft_veto
300124,汇川技术,电力设备,Avoid,回避,16.79,soft_veto
600031,三一重工,机械设备,Avoid,回避,31.1,soft_veto
000063,中兴通讯,科技,Avoid,回避,0.41,soft_veto
002371,北方华创,半导体,Avoid,回避,18.44,soft_veto
300308,中际旭创,科技,Avoid,回避,3.72,soft_veto
603986,兆易创新,半导体,Avoid,回避,24.3,soft_veto
601012,隆基绿能,电力设备,Avoid,回避,0.0,soft_veto
600276,恒瑞医药,医药,Avoid,回避,36.31,soft_veto
